amount,category,type,hour,location_distance,previous_transactions,is_fraud
89786.24,Bills,EXPENSE,8,435.84,0,1
66903.92,Other,INCOME,23,165.04,14,1
98073.16,Entertainment,EXPENSE,12,591.89,0,1
42889.85,Other,INCOME,5,50.28,12,0
45497.2,Shopping,INCOME,8,752.01,13,1
8236.53,Food,EXPENSE,11,224.22,2,0
65192.88,Other,EXPENSE,7,199.36,0,1
23892.57,Bills,EXPENSE,18,947.76,14,1
76701.46,Travel,EXPENSE,5,964.72,3,1
92892.27,Entertainment,INCOME,12,941.47,6,1
69076.91,Salary,EXPENSE,3,697.19,9,1
60061.14,Food,EXPENSE,11,532.75,11,1
64771.95,Food,INCOME,15,105.54,11,1
82879.3,Salary,EXPENSE,13,176.14,16,1
27044.74,Other,INCOME,14,435.57,18,0
85178.73,Other,EXPENSE,8,881.63,7,1
57006.47,Salary,INCOME,10,28.7,10,1
21251.38,Other,INCOME,10,279.66,19,0
27663.04,Food,EXPENSE,2,241.36,13,1
75828.56,Salary,INCOME,20,711.84,14,1
9350.68,Travel,INCOME,22,243.31,18,0
55369.62,Shopping,INCOME,23,550.39,11,1
27128.1,Shopping,EXPENSE,3,721.28,10,1
53609.6,Other,EXPENSE,6,216.38,15,1
58979.21,Other,INCOME,3,832.63,9,1
17985.18,Food,EXPENSE,8,45.52,1,0
69756.87,Travel,INCOME,3,872.72,18,1
47897.49,Shopping,EXPENSE,1,252.48,15,1
6581.08,Bills,EXPENSE,18,629.45,1,0
81123.65,Shopping,EXPENSE,7,118.45,13,1
79084.55,Travel,INCOME,14,908.5,9,1
99003.62,Shopping,EXPENSE,19,960.11,3,1
20818.4,Travel,INCOME,21,81.19,7,0
7552.73,Food,INCOME,14,689.37,15,0
23186.05,Salary,INCOME,22,859.61,2,1
92394.91,Other,EXPENSE,13,114.78,7,1
90845.72,Other,EXPENSE,2,59.64,9,1
82432.82,Shopping,INCOME,3,468.7,9,1
94270.49,Entertainment,INCOME,14,80.44,1,1
73466.67,Entertainment,INCOME,0,91.33,18,1
2123.51,Other,INCOME,18,40.23,5,0
65168.37,Shopping,EXPENSE,18,435.88,15,1
47027.54,Bills,INCOME,10,670.13,5,0
69382.68,Shopping,INCOME,17,36.7,2,1
32361.21,Other,INCOME,16,824.93,0,1
54282.23,Bills,EXPENSE,6,518.44,19,1
62559.6,Other,EXPENSE,6,267.06,4,1
43839.7,Salary,INCOME,3,28.87,20,1
23967.78,Travel,INCOME,17,13.67,13,0
99226.1,Food,INCOME,3,647.71,4,1
71674.5,Entertainment,INCOME,13,834.72,15,1
55148.94,Bills,EXPENSE,19,508.24,4,1
27660.93,Other,INCOME,10,934.25,16,1
306.4,Salary,INCOME,18,579.92,15,0
44682.41,Bills,INCOME,10,551.92,17,0
93288.58,Other,EXPENSE,22,238.81,12,1
77565.67,Food,INCOME,23,472.98,12,1
66385.7,Other,EXPENSE,15,964.82,4,1
59038.53,Other,EXPENSE,14,99.71,14,1
14458.33,Other,EXPENSE,2,469.49,8,1
69285.82,Salary,EXPENSE,10,852.34,17,1
31700.28,Salary,INCOME,17,35.9,2,0
68455.74,Shopping,EXPENSE,23,90.38,3,1
70403.89,Food,INCOME,5,694.0,0,1
79624.54,Shopping,INCOME,11,430.69,7,1
56614.51,Other,EXPENSE,5,175.07,19,1
61990.05,Travel,INCOME,18,143.12,14,1
45984.07,Salary,EXPENSE,14,901.21,17,1
44200.89,Shopping,INCOME,20,962.03,8,1
30247.06,Bills,INCOME,3,237.21,18,1
29622.45,Salary,INCOME,0,977.94,12,1
56614.61,Salary,EXPENSE,19,745.17,9,1
23050.33,Other,INCOME,7,636.62,19,0
75569.95,Other,EXPENSE,20,97.16,20,1
30927.84,Bills,EXPENSE,18,364.86,4,0
29546.29,Salary,INCOME,5,200.79,17,0
36617.46,Entertainment,INCOME,5,256.97,15,0
29549.39,Other,INCOME,3,468.33,2,1
96651.7,Other,INCOME,17,365.78,12,1
53680.4,Bills,INCOME,21,749.01,8,1
82250.61,Shopping,EXPENSE,21,233.82,0,1
94319.76,Shopping,EXPENSE,20,63.22,14,1
30253.91,Bills,EXPENSE,4,45.35,1,1
49287.83,Food,EXPENSE,17,135.66,14,0
94940.61,Salary,INCOME,18,742.27,4,1
65509.44,Other,INCOME,19,408.12,8,1
37084.47,Bills,INCOME,7,855.45,3,1
36765.13,Salary,INCOME,1,398.14,6,1
94903.63,Other,INCOME,2,662.77,20,1
97110.78,Food,INCOME,7,988.82,18,1
82990.29,Entertainment,EXPENSE,18,215.95,7,1
14798.04,Entertainment,EXPENSE,8,858.41,4,1
54044.53,Other,EXPENSE,3,661.06,0,1
35856.32,Other,EXPENSE,18,323.77,5,0
12719.52,Bills,EXPENSE,23,63.56,14,0
51348.13,Food,INCOME,16,221.55,19,1
78333.54,Other,INCOME,14,643.34,0,1
47924.24,Bills,INCOME,21,107.96,14,0
8125.01,Entertainment,EXPENSE,2,126.19,19,1
54858.23,Shopping,INCOME,19,530.56,14,1
43048.42,Other,EXPENSE,20,650.92,17,0
21541.56,Bills,EXPENSE,13,338.93,14,0
72974.77,Shopping,INCOME,10,665.11,11,1
68697.76,Bills,EXPENSE,2,831.77,2,1
74471.67,Shopping,EXPENSE,17,59.98,17,1
67017.83,Bills,INCOME,21,941.13,13,1
72120.01,Shopping,INCOME,11,103.6,16,1
65690.79,Travel,EXPENSE,11,845.37,11,1
27892.89,Travel,INCOME,17,974.55,19,1
64287.78,Food,INCOME,0,180.42,9,1
35134.79,Travel,EXPENSE,18,657.34,2,0
63335.54,Food,EXPENSE,23,530.48,12,1
34122.55,Shopping,INCOME,23,324.38,18,1
88340.05,Travel,EXPENSE,19,49.76,2,1
66210.77,Bills,INCOME,13,273.17,16,1
43019.87,Shopping,INCOME,16,667.13,1,1
98445.34,Food,EXPENSE,6,301.42,6,1
76427.88,Shopping,INCOME,3,7.73,13,1
38051.73,Salary,EXPENSE,16,558.72,11,0
86183.35,Food,INCOME,0,459.75,2,1
57597.13,Entertainment,INCOME,22,640.14,9,1
2134.61,Shopping,EXPENSE,19,460.1,11,0
84456.21,Travel,INCOME,18,400.45,2,1
31061.94,Shopping,EXPENSE,10,779.12,2,1
11446.96,Entertainment,EXPENSE,11,351.1,20,0
23665.07,Travel,INCOME,6,173.5,4,0
65568.13,Travel,INCOME,14,754.45,18,1
92419.22,Entertainment,INCOME,20,316.14,14,1
44248.7,Shopping,INCOME,18,56.17,16,1
46201.16,Food,EXPENSE,11,831.7,2,1
97737.98,Food,INCOME,14,580.33,1,1
80991.1,Salary,EXPENSE,10,605.01,16,1
6234.28,Food,INCOME,22,84.33,20,0
24811.99,Bills,INCOME,16,522.75,5,0
91797.78,Bills,INCOME,10,678.9,1,1
64748.17,Food,INCOME,3,557.96,12,1
72387.18,Salary,EXPENSE,10,81.5,4,1
31057.66,Salary,INCOME,4,595.04,2,1
37699.1,Other,INCOME,4,670.12,16,1
67062.08,Entertainment,INCOME,0,362.6,5,1
34206.15,Other,INCOME,6,226.54,4,0
29614.42,Other,EXPENSE,16,770.87,16,1
33709.6,Other,EXPENSE,19,376.72,5,0
69299.92,Entertainment,EXPENSE,23,437.67,13,1
71972.59,Bills,INCOME,23,783.8,7,1
30981.32,Other,INCOME,6,367.84,18,0
46194.91,Shopping,INCOME,16,527.46,5,1
80135.86,Travel,INCOME,1,641.18,11,1
10303.84,Other,EXPENSE,9,83.88,5,0
90535.36,Travel,INCOME,2,946.41,7,1
88468.75,Food,INCOME,1,396.45,11,1
99452.81,Shopping,EXPENSE,0,318.68,3,1
65013.57,Other,EXPENSE,4,38.3,15,1
13922.33,Salary,INCOME,14,615.35,2,1
21604.69,Travel,INCOME,3,776.17,7,1
4822.56,Bills,INCOME,2,110.86,15,1
1692.71,Entertainment,EXPENSE,22,143.58,13,1
35313.96,Entertainment,INCOME,5,664.37,2,0
36092.35,Entertainment,EXPENSE,12,873.33,1,1
98104.89,Shopping,EXPENSE,11,788.52,11,1
65727.58,Food,INCOME,4,44.34,17,1
64297.42,Other,INCOME,22,478.53,5,1
6356.9,Other,INCOME,1,293.44,1,1
88584.75,Shopping,INCOME,16,398.22,17,1
3710.25,Salary,EXPENSE,9,356.97,1,0
33225.87,Food,INCOME,13,889.49,14,1
38695.14,Travel,INCOME,22,497.52,16,0
8307.02,Bills,EXPENSE,13,602.45,5,0
32155.08,Food,INCOME,21,295.64,14,0
42640.3,Salary,INCOME,11,447.13,11,0
43522.3,Salary,EXPENSE,2,671.18,12,1
80119.54,Salary,EXPENSE,0,142.78,19,1
43845.37,Travel,EXPENSE,7,778.52,11,1
94949.24,Food,EXPENSE,21,449.92,11,1
76320.29,Entertainment,EXPENSE,16,366.95,10,1
24998.68,Food,EXPENSE,23,186.05,16,0
56189.19,Shopping,INCOME,22,446.27,19,1
91652.07,Bills,EXPENSE,3,135.73,2,1
89872.97,Bills,EXPENSE,21,967.56,10,1
70968.57,Entertainment,INCOME,9,851.36,20,1
36181.14,Travel,EXPENSE,6,792.07,7,1
2677.09,Entertainment,INCOME,14,803.66,17,1
88430.43,Food,INCOME,12,999.6,15,1
76928.0,Other,EXPENSE,4,972.38,20,1
46610.03,Entertainment,INCOME,4,877.96,17,1
18237.22,Travel,INCOME,16,910.71,1,1
51834.31,Shopping,EXPENSE,5,322.66,7,1
94093.36,Shopping,EXPENSE,8,196.3,17,1
62520.99,Entertainment,EXPENSE,16,640.99,18,1
15461.72,Salary,INCOME,18,41.19,0,0
94857.26,Other,INCOME,20,210.81,18,1
63917.17,Bills,INCOME,20,956.65,15,1
80744.56,Bills,INCOME,14,72.97,1,1
41591.39,Bills,EXPENSE,10,606.66,10,0
31965.67,Other,INCOME,12,130.77,11,0
10663.08,Travel,INCOME,3,267.47,7,1
5108.0,Bills,INCOME,7,962.69,5,1
93378.47,Salary,INCOME,6,763.12,15,1
46708.17,Shopping,INCOME,0,90.05,12,1
96670.33,Travel,INCOME,1,50.54,15,1
84292.82,Salary,INCOME,9,536.69,3,1
88251.45,Salary,INCOME,12,365.94,12,1
56203.6,Shopping,INCOME,2,386.35,14,1
28008.08,Entertainment,EXPENSE,4,975.08,12,1
98679.43,Entertainment,INCOME,4,199.06,16,1
4073.48,Food,EXPENSE,22,333.04,15,0
14936.62,Entertainment,EXPENSE,10,931.37,10,1
99062.04,Salary,INCOME,18,336.37,16,1
70888.54,Shopping,INCOME,0,368.36,3,1
58391.03,Other,EXPENSE,19,474.59,20,1
77627.39,Entertainment,EXPENSE,23,51.36,15,1
62921.07,Entertainment,INCOME,4,821.66,7,1
94823.11,Food,EXPENSE,0,441.04,13,1
69065.5,Bills,INCOME,23,727.4,4,1
56110.63,Salary,INCOME,16,376.82,5,1
53336.05,Entertainment,INCOME,21,771.99,20,1
26473.0,Bills,EXPENSE,7,279.01,9,0
97292.42,Shopping,INCOME,22,207.28,15,1
34912.88,Other,INCOME,9,121.87,17,0
98017.05,Other,INCOME,4,290.45,9,1
7948.99,Bills,INCOME,23,479.08,6,0
27149.72,Entertainment,INCOME,4,109.23,18,1
5124.0,Entertainment,EXPENSE,20,232.84,3,0
71749.94,Food,EXPENSE,0,964.52,5,1
93506.46,Bills,INCOME,20,199.46,9,1
64607.5,Other,EXPENSE,20,574.13,17,1
85040.79,Food,EXPENSE,13,882.24,5,1
3682.17,Other,INCOME,15,186.31,9,0
976.25,Entertainment,EXPENSE,10,284.56,20,0
49416.55,Travel,INCOME,8,192.81,3,0
73125.37,Salary,INCOME,22,186.2,10,1
56799.73,Other,EXPENSE,5,610.95,20,1
82707.63,Entertainment,INCOME,2,400.83,3,1
14104.16,Shopping,EXPENSE,0,260.79,7,1
26736.08,Shopping,INCOME,18,722.88,0,1
35987.23,Travel,EXPENSE,21,118.22,9,0
68623.06,Salary,INCOME,22,117.42,9,1
22123.88,Travel,INCOME,4,454.98,19,1
70208.98,Bills,EXPENSE,7,680.34,19,1
8232.94,Bills,INCOME,2,917.24,3,1
54787.54,Entertainment,EXPENSE,18,536.66,5,1
52058.14,Food,EXPENSE,22,583.15,2,1
44576.0,Food,INCOME,4,513.25,14,1
55901.78,Salary,INCOME,23,21.77,8,1
74593.16,Entertainment,EXPENSE,1,423.7,2,1
6072.55,Food,INCOME,1,287.09,5,1
76594.48,Salary,INCOME,11,992.86,12,1
91715.65,Bills,INCOME,2,682.73,17,1
86035.64,Food,EXPENSE,17,393.06,4,1
22307.89,Food,EXPENSE,9,463.0,17,0
37958.68,Travel,EXPENSE,14,346.16,8,0
87527.06,Other,EXPENSE,1,809.48,13,1
93626.98,Food,EXPENSE,6,67.29,19,1
59798.6,Salary,EXPENSE,7,740.54,12,1
53998.99,Other,EXPENSE,4,503.9,9,1
91643.88,Entertainment,INCOME,18,597.92,10,1
87632.02,Salary,EXPENSE,13,300.5,1,1
59187.13,Salary,EXPENSE,20,678.75,17,1
97230.41,Salary,INCOME,16,318.73,13,1
30023.86,Travel,INCOME,7,849.34,9,1
14477.96,Bills,EXPENSE,17,412.68,13,0
13452.57,Travel,INCOME,6,330.26,2,0
84720.98,Food,EXPENSE,1,268.46,19,1
87368.36,Travel,EXPENSE,15,208.89,10,1
90903.97,Travel,EXPENSE,23,117.32,15,1
69577.85,Salary,EXPENSE,12,915.13,17,1
28341.77,Bills,INCOME,9,261.56,16,0
46627.11,Other,INCOME,10,914.33,11,1
4619.26,Other,EXPENSE,23,145.92,8,0
58423.99,Salary,INCOME,9,152.41,10,1
57000.46,Travel,INCOME,17,654.61,10,1
82168.11,Salary,INCOME,14,168.23,11,1
72045.34,Bills,EXPENSE,17,990.32,1,1
83914.9,Food,EXPENSE,0,412.39,20,1
70731.6,Food,EXPENSE,16,456.01,1,1
66692.14,Entertainment,INCOME,21,487.85,0,1
41163.28,Food,INCOME,17,977.48,0,1
69801.01,Bills,EXPENSE,3,918.05,16,1
19233.61,Entertainment,INCOME,11,267.32,12,0
95931.81,Bills,EXPENSE,22,225.86,2,1
85829.0,Other,EXPENSE,2,405.28,12,1
5658.69,Food,EXPENSE,2,499.86,13,1
33160.5,Other,EXPENSE,16,919.15,7,1
86818.28,Entertainment,INCOME,8,46.56,2,1
28073.28,Entertainment,EXPENSE,5,928.77,10,1
20755.45,Travel,INCOME,2,299.28,18,1
83473.32,Bills,INCOME,12,755.61,4,1
68946.59,Food,INCOME,1,97.69,7,1
34092.25,Other,INCOME,10,29.63,8,0
45082.49,Travel,INCOME,17,941.14,13,1
58608.22,Bills,EXPENSE,19,295.38,7,1
8249.7,Travel,INCOME,22,783.89,4,1
31701.99,Food,EXPENSE,0,942.96,14,1
27013.16,Travel,EXPENSE,5,430.98,17,0
40834.02,Food,EXPENSE,11,554.22,19,0
32476.81,Bills,EXPENSE,9,413.81,2,0
55975.68,Travel,EXPENSE,21,380.73,4,1
26877.26,Travel,EXPENSE,5,434.68,13,0
78277.53,Shopping,INCOME,7,720.9,15,1
19595.05,Food,EXPENSE,9,6.77,12,0
62038.21,Other,INCOME,14,334.74,20,1
13655.64,Shopping,EXPENSE,15,314.18,12,0
29180.24,Salary,INCOME,18,781.97,10,1
81658.63,Bills,INCOME,3,932.07,6,1
54585.63,Salary,EXPENSE,23,461.62,6,1
29168.55,Salary,EXPENSE,13,672.98,4,0
24240.02,Salary,EXPENSE,22,423.13,12,0
99070.53,Bills,INCOME,17,506.61,13,1
79082.56,Shopping,EXPENSE,3,768.95,11,1
61287.16,Entertainment,INCOME,10,965.72,13,1
9905.73,Travel,EXPENSE,14,374.12,14,0
58879.57,Entertainment,EXPENSE,11,997.7,15,1
41626.74,Food,EXPENSE,23,141.68,9,0
78437.79,Entertainment,INCOME,11,476.16,14,1
45272.1,Food,INCOME,1,810.19,3,1
34340.64,Food,EXPENSE,23,243.91,5,0
33132.42,Bills,INCOME,7,797.76,20,1
64065.86,Bills,INCOME,0,737.39,6,1
42983.81,Food,EXPENSE,6,278.34,2,0
79960.26,Entertainment,EXPENSE,11,325.98,14,1
67086.61,Bills,INCOME,19,388.64,12,1
34825.07,Other,INCOME,19,172.53,9,0
59037.33,Salary,EXPENSE,10,117.86,9,1
37361.94,Travel,INCOME,13,596.43,18,0
18616.08,Salary,EXPENSE,17,166.87,9,0
31492.27,Bills,EXPENSE,11,951.84,15,1
81530.83,Entertainment,INCOME,13,684.7,13,1
44412.98,Travel,EXPENSE,18,30.86,7,0
27521.55,Entertainment,INCOME,5,780.74,18,1
76603.66,Entertainment,EXPENSE,18,114.21,17,1
36717.83,Other,EXPENSE,23,441.37,6,0
10286.52,Other,EXPENSE,9,874.81,1,1
34890.27,Other,EXPENSE,14,865.29,3,1
23732.76,Other,INCOME,22,610.26,13,0
13966.53,Travel,EXPENSE,1,570.07,17,1
53899.92,Shopping,INCOME,9,572.74,16,1
67945.97,Food,EXPENSE,13,918.77,8,1
12732.47,Other,EXPENSE,7,146.24,10,0
76159.29,Salary,INCOME,15,142.17,20,1
41451.8,Bills,EXPENSE,20,794.6,2,1
74992.75,Salary,INCOME,14,950.25,10,1
86897.33,Other,EXPENSE,23,972.15,20,1
35854.36,Food,INCOME,6,968.13,6,1
32320.37,Shopping,INCOME,17,577.93,18,1
78840.95,Salary,EXPENSE,1,99.57,14,1
92946.82,Travel,INCOME,14,0.68,13,1
68874.76,Travel,INCOME,5,874.42,8,1
36075.52,Food,INCOME,21,903.8,5,1
62579.15,Salary,EXPENSE,13,655.49,3,1
47706.83,Travel,EXPENSE,16,679.98,0,1
34390.24,Food,INCOME,22,132.18,2,0
8978.64,Other,EXPENSE,3,313.35,9,1
77357.38,Other,EXPENSE,20,992.94,4,1
56350.96,Entertainment,EXPENSE,14,351.19,6,1
15179.84,Bills,INCOME,6,86.69,3,0
12359.56,Salary,INCOME,11,963.25,10,1
24816.25,Salary,EXPENSE,7,553.4,19,0
28527.83,Salary,EXPENSE,21,875.83,6,1
50976.78,Salary,INCOME,9,646.17,7,1
11318.73,Bills,EXPENSE,16,888.72,0,1
93395.74,Travel,INCOME,18,420.86,17,1
76284.46,Other,EXPENSE,0,587.36,0,1
4030.69,Food,INCOME,16,286.49,16,0
42386.34,Bills,EXPENSE,20,536.56,19,0
8405.53,Food,EXPENSE,4,536.39,12,1
76334.25,Salary,EXPENSE,9,698.68,7,1
8666.97,Bills,EXPENSE,14,612.3,1,0
74182.27,Salary,EXPENSE,3,12.66,4,1
16425.07,Shopping,INCOME,5,371.87,8,0
11849.77,Food,INCOME,13,271.98,2,0
97506.31,Salary,EXPENSE,15,455.2,11,1
85943.01,Travel,INCOME,5,255.12,3,1
67428.34,Food,EXPENSE,23,508.82,1,1
1278.19,Food,INCOME,11,382.98,4,0
96036.2,Food,INCOME,7,321.8,13,1
32027.52,Other,EXPENSE,18,372.81,16,0
5314.58,Travel,EXPENSE,12,68.93,14,0
77364.07,Shopping,INCOME,2,553.09,0,1
29194.93,Other,INCOME,23,622.72,14,0
97187.18,Other,EXPENSE,23,900.44,7,1
93243.13,Food,EXPENSE,17,346.42,0,1
196.13,Salary,INCOME,23,727.22,3,1
98312.42,Bills,INCOME,1,972.56,4,1
9348.01,Travel,INCOME,22,895.58,14,1
8536.0,Food,EXPENSE,20,819.96,2,1
6275.17,Salary,EXPENSE,7,291.68,10,0
39325.62,Other,INCOME,10,452.76,7,0
20311.13,Other,EXPENSE,4,105.66,14,1
40680.93,Entertainment,INCOME,6,451.92,14,0
12035.36,Travel,INCOME,22,696.88,1,0
85664.5,Travel,EXPENSE,22,248.22,11,1
4942.61,Shopping,INCOME,5,31.08,12,0
55617.58,Entertainment,EXPENSE,3,462.04,4,1
6213.83,Other,EXPENSE,4,198.13,12,1
63048.24,Salary,EXPENSE,18,586.12,2,1
6493.98,Salary,INCOME,4,91.98,10,1
94230.95,Food,EXPENSE,18,433.16,12,1
38303.81,Bills,EXPENSE,11,214.72,5,0
44628.84,Travel,EXPENSE,19,619.18,7,0
49914.22,Entertainment,INCOME,1,87.72,12,1
19985.81,Other,EXPENSE,20,994.09,17,1
98940.89,Other,INCOME,15,544.52,15,1
56586.83,Shopping,INCOME,8,179.82,10,1
2978.88,Other,INCOME,1,808.65,15,1
76695.87,Travel,EXPENSE,3,247.86,7,1
81637.7,Salary,EXPENSE,7,575.69,12,1
83930.26,Other,EXPENSE,5,236.55,10,1
69777.78,Entertainment,EXPENSE,22,700.56,18,1
56332.73,Travel,INCOME,17,309.05,15,1
5663.99,Entertainment,EXPENSE,0,526.45,0,1
61432.77,Other,EXPENSE,10,716.94,10,1
14813.82,Salary,EXPENSE,3,846.48,11,1
37390.4,Salary,INCOME,18,101.03,9,0
97587.27,Salary,INCOME,20,960.66,20,1
70732.93,Entertainment,INCOME,7,665.53,5,1
73412.8,Shopping,EXPENSE,5,728.83,18,1
99428.6,Entertainment,EXPENSE,5,602.39,19,1
56576.75,Bills,EXPENSE,10,745.34,7,1
31985.89,Salary,EXPENSE,22,670.02,10,0
26557.98,Travel,EXPENSE,11,256.66,3,0
4862.34,Bills,INCOME,5,884.55,15,1
35155.56,Bills,EXPENSE,15,788.73,18,1
68731.68,Travel,INCOME,2,799.19,1,1
31905.75,Food,EXPENSE,10,170.11,12,0
7546.49,Food,INCOME,19,985.28,15,1
43160.77,Salary,EXPENSE,19,889.75,5,1
33142.9,Travel,INCOME,22,554.11,17,0
28188.23,Travel,EXPENSE,1,392.9,17,1
15401.31,Shopping,EXPENSE,13,87.63,20,0
20007.5,Food,EXPENSE,5,638.19,2,0
11595.12,Other,INCOME,15,489.1,8,0
54435.4,Travel,INCOME,12,369.4,14,1
44002.06,Shopping,EXPENSE,8,564.25,4,1
66763.47,Food,INCOME,17,413.99,18,1
6145.33,Bills,INCOME,17,687.07,15,0
23602.42,Shopping,EXPENSE,12,902.78,1,1
90050.48,Other,EXPENSE,3,949.25,14,1
98437.58,Travel,EXPENSE,4,42.68,2,1
43567.55,Other,EXPENSE,19,257.89,2,0
55658.6,Entertainment,INCOME,8,519.69,0,1
62324.64,Entertainment,INCOME,3,414.44,4,1
58288.57,Food,EXPENSE,18,779.54,9,1
88019.57,Bills,INCOME,12,654.79,18,1
3794.69,Shopping,INCOME,4,618.24,12,1
88962.94,Shopping,EXPENSE,1,745.75,8,1
2072.28,Other,INCOME,9,280.35,15,0
68500.96,Other,EXPENSE,4,300.48,14,1
32120.79,Salary,INCOME,19,645.55,6,0
91347.61,Bills,INCOME,16,867.19,1,1
15939.3,Shopping,INCOME,4,780.52,16,1
2943.37,Travel,EXPENSE,1,249.49,14,1
36069.49,Travel,INCOME,11,823.51,16,1
92311.2,Salary,EXPENSE,7,372.47,19,1
96054.01,Bills,INCOME,11,163.51,8,1
68900.61,Shopping,EXPENSE,12,49.65,18,1
21471.14,Travel,EXPENSE,21,206.73,20,0
2054.23,Other,EXPENSE,15,911.52,20,1
80096.44,Travel,INCOME,19,805.09,9,1
70951.35,Shopping,INCOME,12,851.59,14,1
46696.47,Salary,INCOME,18,102.31,16,0
96650.22,Other,INCOME,17,647.34,19,1
68457.09,Bills,EXPENSE,10,988.36,20,1
27724.65,Salary,INCOME,6,149.93,7,0
80552.71,Other,INCOME,21,319.59,4,1
65557.29,Shopping,INCOME,13,404.6,1,1
99475.64,Other,EXPENSE,10,726.55,7,1
63849.44,Bills,INCOME,16,300.19,5,1
87655.65,Travel,INCOME,3,470.78,8,1
55925.21,Travel,INCOME,20,89.3,11,1
87149.65,Bills,INCOME,11,260.56,9,1
11822.26,Food,EXPENSE,15,889.43,16,1
68085.74,Entertainment,INCOME,13,54.06,4,1
20069.64,Bills,INCOME,4,316.38,5,1
48783.71,Salary,EXPENSE,10,634.5,0,1
20977.77,Other,EXPENSE,18,764.48,15,1
